Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
325.9232272,13.2990483,227.3947554,100.7720106,102.0440633,-141.8243993
326.9232272,13.30877378,226.6086352,100.1539369,103.6012508,-141.8243993
327.9232272,13.31835417,225.8225151,99.53586319,105.1584383,-141.8243993
328.9232272,13.32779374,225.0363949,98.91778951,106.7156258,-141.8243993
329.9232272,13.33709657,224.2502747,98.29971583,108.2728134,-141.8243993
330.9232272,13.34626655,223.4641545,97.68164214,109.8300009,-141.8243993
331.9232272,13.35530744,222.6780344,97.06356846,111.3871884,-141.8243993
332.9232272,13.36422282,221.8919142,96.44549478,112.944376,-141.8243993
333.9232272,13.37301612,221.105794,95.82742109,114.5015635,-141.8243993
334.9232272,13.38169064,220.3196739,95.20934741,116.058751,-141.8243993
335.9232272,13.39024954,219.5335537,94.59127373,117.6159385,-141.8243993
336.9232272,13.39869588,218.7474335,93.97320005,119.1731261,-141.8243993
337.9232272,13.40703257,217.9613134,93.35512636,120.7303136,-141.8243993
338.9232272,13.41526242,217.1751932,92.73705268,122.2875011,-141.8243993
339.9232272,13.42338813,216.389073,92.118979,123.8446887,-141.8243993
340.9232272,13.43141231,215.6029528,91.50090531,125.4018762,-141.8243993
341.9232272,13.43933747,214.8168327,90.88283163,126.9590637,-141.8243993
342.9232272,13.44716602,214.0307125,90.26475795,128.5162512,-141.8243993
343.9232272,13.45490028,213.2445923,89.64668426,130.0734388,-141.8243993
344.9232272,13.4625425,212.4584722,89.02861058,131.6306263,-141.8243993
345.9232272,13.47009484,211.672352,88.4105369,133.1878138,-141.8243993
346.9232272,13.4775594,210.8862318,87.79246321,134.7450013,-141.8243993
347.9232272,13.48493819,210.1001116,87.17438953,136.3021889,-141.8243993
348.9232272,13.49223316,209.3139915,86.55631585,137.8593764,-141.8243993
349.9232272,13.49944619,208.5278713,85.93824217,139.4165639,-141.8243993
350.9232272,13.5065791,207.7417511,85.32016848,140.9737515,-141.8243993
351.9232272,13.51363366,206.955631,84.7020948,142.530939,-141.8243993
352.9232272,13.52061156,206.1695108,84.08402112,144.0881265,-141.8243993
353.9232272,13.52751446,205.3833906,83.46594743,145.645314,-141.8243993
354.9232272,13.53434394,204.5972705,82.84787375,147.2025016,-141.8243993
355.9232272,13.54110156,203.8111503,82.22980007,148.7596891,-141.8243993
356.9232272,13.54778881,203.0250301,81.61172638,150.3168766,-141.8243993
357.9232272,13.55440715,202.2389099,80.9936527,151.8740642,-141.8243993
358.9232272,13.56095797,201.4527898,80.37557902,153.4312517,-141.8243993
359.9232272,13.56744264,200.6666696,79.75750534,154.9884392,-141.8243993
360.9232272,13.57386248,199.8805494,79.13943165,156.5456267,-141.8243993
361.9232272,13.58021878,199.0944293,78.52135797,158.1028143,-141.8243993
362.9232272,13.58651278,198.3083091,77.90328429,159.6600018,-141.8243993
